대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2021-10-27,0,13.4,2.2,290,0,50,28,10375
2021-10-28,0,12.7,1.4,50,0,33,14,10713
2021-10-29,0,14.6,2,50,0,26,13,11276
2021-10-30,1,13.8,1.6,50,0,24,13,10760
2021-10-31,1,14.1,1.6,20,0,31,19,9290
2021-11-01,0,12.9,1.9,250,0,36,22,10091
2021-11-02,0,11.5,1.7,270,0,43,27,10822
2021-11-03,0,12.1,1.5,270,0.073,46,30,11174
2021-11-04,0,12.1,1.3,20,0.007,50,33,10936
2021-11-05,0,13,1.5,20,0,61,41,11376
2021-11-06,1,14.1,1.6,20,0,54,33,11239
2021-11-07,1,15.3,2.1,70,0,36,21,11005
2021-11-08,0,8.6,3.2,250,0,11,5,1242
2021-11-09,0,4.9,2.4,200,0,9,5,2687
2021-11-10,0,4.2,2.5,270,0,17,9,6816
2021-11-11,0,5.3,2.9,270,0,20,8,7891
2021-11-12,0,4.5,2.6,290,0,21,9,7895
2021-11-13,1,7.3,1.5,20,0,28,13,8156
2021-11-14,1,11.3,2.2,50,0,49,24,8309
2021-11-15,0,10.1,1.6,270,0,58,28,9349
2021-11-16,0,8.5,1.9,270,0,54,25,9161
2021-11-17,0,7.5,1.6,270,0,38,19,9206
2021-11-18,0,11.9,2.4,50,0,52,26,9199
2021-11-19,0,12.9,1.9,200,0,94,56,9916
2021-11-20,1,10.4,1.6,20,0,129,87,7653
2021-11-21,1,10.4,1.9,70,0,111,82,6049
2021-11-22,0,2.7,4.1,270,0.098,44,15,5994
2021-11-23,0,-0.6,3.2,270,0,30,10,5991
2021-11-24,0,4.1,1.9,230,0,27,12,7330
2021-11-25,0,5.7,2.2,270,0,48,17,7663
2021-11-26,0,2.9,2.2,270,0,26,12,7143
2021-11-27,1,3.4,1.6,290,0,35,18,6438
2021-11-28,1,5.1,1.5,50,0,41,26,6410
2021-11-29,0,7.6,1.6,20,0,46,28,8150
2021-11-30,0,5.7,3.7,270,0,22,14,2329
2021-12-01,0,-1.3,4.2,270,0,19,8,5076
2021-12-02,0,1.3,2.1,200,0,22,12,5643
2021-12-03,0,1.9,2.9,270,0,21,9,5652
2021-12-04,1,1.4,2,270,0,22,10,5285
2021-12-05,1,2.9,1.4,20,0,32,19,5336
2021-12-06,0,5.4,1.6,20,0,45,25,7169
2021-12-07,0,6.8,1.2,50,0.005,45,26,7740
2021-12-08,0,6.7,1.5,20,0,33,18,7795
2021-12-09,0,6.5,2.2,50,0,34,19,7493
2021-12-10,0,7,2.1,50,0.005,31,17,6479
2021-12-11,1,6,1.4,270,0.002,62,39,6338
2021-12-12,1,1.2,3.2,290,0,42,23,4221
2021-12-13,0,-2.2,2.3,270,0,22,10,5376
2021-12-14,0,3.7,2,50,0,30,16,4683
2021-12-15,0,7.2,1.7,270,0,67,45,5834
2021-12-16,0,6.4,1.8,250,0,85,56,6972
2021-12-17,0,-5.6,4.6,270,0,39,19,4075
2021-12-18,1,-5.7,2,20,0,24,11,2106
2021-12-19,1,-0.8,2,20,0,32,14,1546
2021-12-20,0,5.2,2.1,230,0,48,25,5272
2021-12-21,0,5.2,2,290,0,60,34,6370
2021-12-22,0,2.2,1.7,270,0,33,16,6357
2021-12-23,0,2.7,1.4,290,0,44,26,6509
2021-12-24,0,-0.3,2.6,270,0,48,33,4699
2021-12-25,1,-11.7,3.9,290,0,26,12,1820
2021-12-26,1,-12.1,3.1,290,0,18,7,1594
2021-12-27,0,-7.6,1.7,50,0,29,16,3632
2021-12-28,0,-4.1,2.2,50,0,44,30,4355
2021-12-29,0,0.4,2.6,50,0,52,39,4580
2021-12-30,0,-3.9,3.3,270,0,34,20,4232
2021-12-31,0,-6.7,3.5,270,0,23,7,3518
2022-01-01,1,-4.3,1.5,20,0,28,14,2595
2022-01-02,1,-1.3,2.3,290,0.0017,32,22,2317
2022-01-03,0,-1.9,1.8,250,0,27,15,4199
2022-01-04,0,-2.5,2.4,250,0,35,20,4544
2022-01-05,0,-2.8,1.7,50,0,46,30,4654
2022-01-06,0,-2.2,2.3,290,0,52,34,5003
2022-01-07,0,-1.6,1.5,250,0,64,43,5027
2022-01-08,1,0.3,1.7,200,0,50,36,3889
2022-01-09,1,1.3,1.7,270,0,113,90,3350
2022-01-10,0,0.5,2,250,0.0051,89,73,4923
2022-01-11,0,-7.4,4,290,0.0011,33,20,3321
2022-01-12,0,-7.7,2.4,290,0,30,16,3722
2022-01-13,0,-6.4,3.3,270,0,35,12,3579
2022-01-14,0,-4.8,1.7,180,0,33,14,4326
2022-01-15,1,-1,1.9,50,0,43,25,3618
2022-01-16,1,-2,3.3,250,0,45,26,2814
2022-01-17,0,-5.8,2.2,270,0.0028,26,13,3178
2022-01-18,0,-5.6,2.3,290,0,39,19,3894
2022-01-19,0,-5.3,2.1,320,0.0096,42,29,2197
2022-01-20,0,-5,1.8,320,0,40,31,3205
2022-01-21,0,-2.7,1.8,50,0,37,27,4094
2022-01-22,1,0.3,1.7,290,0,43,31,3700
2022-01-23,1,2,1.7,250,0,62,46,3681
2022-01-24,0,4.6,3.5,70,0,23,17,5393
2022-01-25,0,2.8,2.3,270,0.004,26,20,3806
2022-01-26,0,1.3,2.2,320,0,57,44,5149
2022-01-27,0,-1.1,2.1,290,0,61,42,4820
2022-01-28,0,-2.7,2.8,290,0,38,22,4613
2022-01-29,1,-3.6,2.4,320,0,30,16,3336
2022-01-30,1,-2.8,2.2,270,0,35,19,2825
2022-01-31,1,-0.7,1.9,250,0.0068,31,20,2552
2022-02-01,1,-1.3,2.6,270,0.0096,43,35,1337
2022-02-02,1,-3.4,2.4,250,0,33,23,2610
2022-02-03,0,-3.4,2.4,270,0,25,14,3967
2022-02-04,0,-5.2,3.1,290,0,23,12,3779
2022-02-05,1,-6.6,3.1,270,0,30,9,2687
2022-02-06,1,-3.9,2.5,290,0,24,10,2670
2022-02-07,0,-2.5,1.8,290,0,28,15,4341
2022-02-08,0,-0.1,1.9,290,0,31,19,4851
2022-02-09,0,1,1.8,290,0,38,24,5193
2022-02-10,0,1.4,2.3,320,0,46,30,5609
